Name,Symbol,Date,High,Low,Open,Close,Volume
Ethereum,ETH,07/01/2018,1153.170044,1043.01001,1043.01001,1153.170044,5569880064
Ethereum,ETH,08/01/2018,1266.930054,1016.049988,1158.26001,1148.530029,8450970112
Ethereum,ETH,09/01/2018,1320.97998,1145.48999,1146,1299.73999,7965459968
Ethereum,ETH,10/01/2018,1417.380005,1226.599976,1300.339966,1255.819946,9214950400
Ethereum,ETH,11/01/2018,1337.300049,1135.170044,1268.089966,1154.930054,7235899904
Ethereum,ETH,12/01/2018,1296.040039,1120.089966,1158.290039,1273.199951,5222300160
Ethereum,ETH,13/01/2018,1432.880005,1270.469971,1270.469971,1396.420044,5746760192
Ethereum,ETH,14/01/2018,1400.560059,1286.209961,1397.47998,1366.77002,4841630208
Ethereum,ETH,15/01/2018,1390.589966,1290.599976,1365.209961,1291.920044,4781100032
Ethereum,ETH,16/01/2018,1292.630005,875.544983,1292.630005,1053.689941,8405139968
Ethereum,ETH,17/01/2018,1090.22998,780.921997,1061.339966,1014.25,8545160192
